表層形,品詞,品詞細分類1,品詞細分類2,品詞細分類3,活用型,活用形,原形,読み,発音
s,名詞,一般,*,*,*,*,*
Only,名詞,一般,*,*,*,*,*
Love,名詞,一般,*,*,*,*,*
Forever,名詞,一般,*,*,*,*,*
.,名詞,サ変接続,*,*,*,*,*
Always,名詞,一般,*,*,*,*,*
I,名詞,一般,*,*,*,*,*
Like,名詞,一般,*,*,*,*,*
You,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
誰,名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
も,助詞,係助詞,*,*,*,*,も,モ,モ
邪魔,名詞,サ変接続,*,*,*,*,邪魔,ジャマ,ジャマ
さ,動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せ,動詞,接尾,*,*,一段,連用形,せる,セ,セ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
し,動詞,自立,*,*,サ変・スル,未然形,する,シ,シ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
It,名詞,固有名詞,組織,*,*,*,*
',名詞,サ変接続,*,*,*,*,*
s,名詞,一般,*,*,*,*,*
Only,名詞,一般,*,*,*,*,*
Love,名詞,一般,*,*,*,*,*
Forever,名詞,一般,*,*,*,*,*
.,名詞,サ変接続,*,*,*,*,*
Always,名詞,一般,*,*,*,*,*
I,名詞,一般,*,*,*,*,*
Love,名詞,一般,*,*,*,*,*
You,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
今日,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
ボク,名詞,代名詞,一般,*,*,*,ボク,ボク,ボク
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
作る,動詞,自立,*,*,五段・ラ行,基本形,作る,ツクル,ツクル
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
It,名詞,固有名詞,組織,*,*,*,*
',名詞,サ変接続,*,*,*,*,*
s,名詞,一般,*,*,*,*,*
Only,名詞,一般,*,*,*,*,*
Love,名詞,一般,*,*,*,*,*
Forever,名詞,一般,*,*,*,*,*
.,名詞,サ変接続,*,*,*,*,*
Always,名詞,一般,*,*,*,*,*
I,名詞,一般,*,*,*,*,*
Like,名詞,一般,*,*,*,*,*
You,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
ごめん,感動詞,*,*,*,*,*,ごめん,ゴメン,ゴメン
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
　,記号,空白,*,*,*,*,　,　,　
寂しく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,寂しい,サビシク,サビシク
さ,動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せ,動詞,接尾,*,*,一段,連用形,せる,セ,セ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
It,名詞,固有名詞,組織,*,*,*,*
',名詞,サ変接続,*,*,*,*,*
s,名詞,一般,*,*,*,*,*
Only,名詞,一般,*,*,*,*,*
Love,名詞,一般,*,*,*,*,*
Forever,名詞,一般,*,*,*,*,*
.,名詞,サ変接続,*,*,*,*,*
Always,名詞,一般,*,*,*,*,*
I,名詞,一般,*,*,*,*,*
Love,名詞,一般,*,*,*,*,*
You,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
キミ,名詞,代名詞,一般,*,*,*,キミ,キミ,キミ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
教え,動詞,自立,*,*,一段,連用形,教える,オシエ,オシエ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
くれ,動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
　,記号,空白,*,*,*,*,　,　,　
ボク,名詞,代名詞,一般,*,*,*,ボク,ボク,ボク
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
強く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,強い,ツヨク,ツヨク
さ,動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せる,動詞,接尾,*,*,一段,基本形,せる,セル,セル
　,記号,空白,*,*,*,*,　,　,　
Always,名詞,固有名詞,組織,*,*,*,*
そう,名詞,接尾,助動詞語幹,*,*,*,そう,ソウ,ソー
！,記号,一般,*,*,*,*,！,！,！
I,名詞,固有名詞,組織,*,*,*,*
Love,名詞,一般,*,*,*,*,*
You,名詞,一般,*,*,*,*,*
!,名詞,サ変接続,*,*,*,*,*
タマネギ,名詞,一般,*,*,*,*,タマネギ,タマネギ,タマネギ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
やけに,副詞,一般,*,*,*,*,やけに,ヤケニ,ヤケニ
目,名詞,一般,*,*,*,*,目,メ,メ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
しみる,動詞,自立,*,*,一段,基本形,しみる,シミル,シミル
街,名詞,一般,*,*,*,*,街,マチ,マチ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
空っ風,名詞,一般,*,*,*,*,空っ風,カラッカゼ,カラッカゼ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
吹い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,吹く,フイ,フイ
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
　,記号,空白,*,*,*,*,　,　,　
胸,名詞,一般,*,*,*,*,胸,ムネ,ムネ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
闇,名詞,一般,*,*,*,*,闇,ヤミ,ヤミ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
寝転ん,動詞,自立,*,*,五段・バ行,連用タ接続,寝転ぶ,ネコロン,ネコロン
でる,動詞,非自立,*,*,一段,基本形,でる,デル,デル
この,連体詞,*,*,*,*,*,この,コノ,コノ
景色,名詞,一般,*,*,*,*,景色,ケシキ,ケシキ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
いつか,名詞,副詞可能,*,*,*,*,いつか,イツカ,イツカ
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
気,名詞,非自立,一般,*,*,*,気,キ,キ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
　,記号,空白,*,*,*,*,　,　,　
車,名詞,一般,*,*,*,*,車,クルマ,クルマ
飛ばし,動詞,自立,*,*,五段・サ行,連用形,飛ばす,トバシ,トバシ
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
　,記号,空白,*,*,*,*,　,　,　
初めて,副詞,一般,*,*,*,*,初めて,ハジメテ,ハジメテ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
探し,動詞,自立,*,*,五段・サ行,連用形,探す,サガシ,サガシ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
Are,名詞,固有名詞,組織,*,*,*,*
you,名詞,一般,*,*,*,*,*
ready,名詞,一般,*,*,*,*,*
?　,名詞,サ変接続,*,*,*,*,*
さよなら,感動詞,*,*,*,*,*,さよなら,サヨナラ,サヨナラ
欲,名詞,一般,*,*,*,*,欲,ヨク,ヨク
まみれ,名詞,接尾,一般,*,*,*,まみれ,マミレ,マミレ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
ガラクタ,名詞,一般,*,*,*,*,*
Are,名詞,固有名詞,組織,*,*,*,*
you,名詞,一般,*,*,*,*,*
ready,名詞,一般,*,*,*,*,*
?　,名詞,サ変接続,*,*,*,*,*
飛び込め,動詞,自立,*,*,一段,連用形,飛び込める,トビコメ,トビコメ
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
なら,助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ
まだ,副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ
間に合う,動詞,自立,*,*,五段・ワ行促音便,基本形,間に合う,マニアウ,マニアウ
本当に,副詞,一般,*,*,*,*,本当に,ホントウニ,ホントーニ
欲しい,形容詞,自立,*,*,形容詞・イ段,基本形,欲しい,ホシイ,ホシイ
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
　,記号,空白,*,*,*,*,　,　,　
エキサイト,名詞,サ変接続,*,*,*,*,エキサイト,エキサイト,エキサイト
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
心臓,名詞,一般,*,*,*,*,心臓,シンゾウ,シンゾー
だろ,助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ
Are,名詞,固有名詞,組織,*,*,*,*
you,名詞,一般,*,*,*,*,*
ready,名詞,一般,*,*,*,*,*
?　,名詞,サ変接続,*,*,*,*,*
Are,名詞,一般,*,*,*,*,*
you,名詞,一般,*,*,*,*,*
ready,名詞,一般,*,*,*,*,*
?,名詞,サ変接続,*,*,*,*,*
思い出し,動詞,自立,*,*,五段・サ行,連用形,思い出す,オモイダシ,オモイダシ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
ごらん,名詞,動詞非自立的,*,*,*,*,ごらん,ゴラン,ゴラン
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
　,記号,空白,*,*,*,*,　,　,　
あの,連体詞,*,*,*,*,*,あの,アノ,アノ
日,名詞,非自立,副詞可能,*,*,*,日,ヒ,ヒ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
ロックンロール,名詞,一般,*,*,*,*,ロックンロール,ロックンロール,ロックンロール
昨日,名詞,副詞可能,*,*,*,*,昨日,キノウ,キノー
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
スコア,名詞,一般,*,*,*,*,スコア,スコア,スコア
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
つける,動詞,自立,*,*,一段,基本形,つける,ツケル,ツケル
なら,助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ
　,記号,空白,*,*,*,*,　,　,　
55,名詞,数,*,*,*,*,*
点,名詞,接尾,助数詞,*,*,*,点,テン,テン
　,記号,空白,*,*,*,*,　,　,　
今日,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
も,助詞,係助詞,*,*,*,*,も,モ,モ
似,動詞,自立,*,*,一段,連用形,似る,ニ,ニ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ
進入,名詞,サ変接続,*,*,*,*,進入,シンニュウ,シンニュー
禁止,名詞,サ変接続,*,*,*,*,禁止,キンシ,キンシ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
標識,名詞,一般,*,*,*,*,標識,ヒョウシキ,ヒョーシキ
蹴飛ばし,動詞,自立,*,*,五段・サ行,連用形,蹴飛ばす,ケトバシ,ケトバシ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
　,記号,空白,*,*,*,*,　,　,　
飛び立っ,動詞,自立,*,*,五段・タ行,連用タ接続,飛び立つ,トビタッ,トビタッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
カラス,名詞,一般,*,*,*,*,カラス,カラス,カラス
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
大声,名詞,一般,*,*,*,*,大声,オオゴエ,オーゴエ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
鳴い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,鳴く,ナイ,ナイ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
Are,名詞,固有名詞,組織,*,*,*,*
you,名詞,一般,*,*,*,*,*
ready,名詞,一般,*,*,*,*,*
?　,名詞,サ変接続,*,*,*,*,*
さよなら,感動詞,*,*,*,*,*,さよなら,サヨナラ,サヨナラ
黒い,形容詞,自立,*,*,形容詞・アウオ段,基本形,黒い,クロイ,クロイ
シャツ,名詞,一般,*,*,*,*,シャツ,シャツ,シャツ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
憂鬱,名詞,一般,*,*,*,*,憂鬱,ユウウツ,ユーウツ
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
Are,名詞,固有名詞,組織,*,*,*,*
you,名詞,一般,*,*,*,*,*
ready,名詞,一般,*,*,*,*,*
?　,名詞,サ変接続,*,*,*,*,*
飛び込め,動詞,自立,*,*,一段,連用形,飛び込める,トビコメ,トビコメ
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
なら,助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ
まだ,副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ
間に合う,動詞,自立,*,*,五段・ワ行促音便,基本形,間に合う,マニアウ,マニアウ
Are,名詞,固有名詞,組織,*,*,*,*
you,名詞,一般,*,*,*,*,*
ready,名詞,一般,*,*,*,*,*
?　,名詞,サ変接続,*,*,*,*,*
行こ,動詞,自立,*,*,五段・カ行促音便,未然ウ接続,行く,イコ,イコ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
ぜ,助詞,終助詞,*,*,*,*,ぜ,ゼ,ゼ
重たい,形容詞,自立,*,*,形容詞・アウオ段,基本形,重たい,オモタイ,オモタイ
腰,名詞,一般,*,*,*,*,腰,コシ,コシ
あげ,動詞,自立,*,*,一段,連用形,あげる,アゲ,アゲ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
Are,名詞,固有名詞,組織,*,*,*,*
you,名詞,一般,*,*,*,*,*
ready,名詞,一般,*,*,*,*,*
?　,名詞,サ変接続,*,*,*,*,*
飛び込め,動詞,自立,*,*,一段,連用形,飛び込める,トビコメ,トビコメ
ネット,名詞,一般,*,*,*,*,ネット,ネット,ネット
なんか,助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
出,動詞,自立,*,*,一段,連用形,出る,デ,デ
て,動詞,非自立,*,*,一段,未然形,てる,テ,テ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
ぜ,助詞,終助詞,*,*,*,*,ぜ,ゼ,ゼ
本当に,副詞,一般,*,*,*,*,本当に,ホントウニ,ホントーニ
欲しい,形容詞,自立,*,*,形容詞・イ段,基本形,欲しい,ホシイ,ホシイ
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
　,記号,空白,*,*,*,*,　,　,　
エキサイト,名詞,サ変接続,*,*,*,*,エキサイト,エキサイト,エキサイト
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
心臓,名詞,一般,*,*,*,*,心臓,シンゾウ,シンゾー
だろ,助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ
Are,名詞,固有名詞,組織,*,*,*,*
you,名詞,一般,*,*,*,*,*
ready,名詞,一般,*,*,*,*,*
?　,名詞,サ変接続,*,*,*,*,*
Are,名詞,一般,*,*,*,*,*
you,名詞,一般,*,*,*,*,*
ready,名詞,一般,*,*,*,*,*
?,名詞,サ変接続,*,*,*,*,*
ふと,副詞,一般,*,*,*,*,ふと,フト,フト
見上げ,動詞,自立,*,*,一段,連用形,見上げる,ミアゲ,ミアゲ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
空,名詞,一般,*,*,*,*,空,ソラ,ソラ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
流れ星,名詞,一般,*,*,*,*,流れ星,ナガレボシ,ナガレボシ
Are,名詞,固有名詞,組織,*,*,*,*
you,名詞,一般,*,*,*,*,*
ready,名詞,一般,*,*,*,*,*
?　,名詞,サ変接続,*,*,*,*,*
Are,名詞,一般,*,*,*,*,*
you,名詞,一般,*,*,*,*,*
ready,名詞,一般,*,*,*,*,*
?,名詞,サ変接続,*,*,*,*,*
Are,名詞,固有名詞,組織,*,*,*,*
you,名詞,一般,*,*,*,*,*
ready,名詞,一般,*,*,*,*,*
?　,名詞,サ変接続,*,*,*,*,*
Are,名詞,一般,*,*,*,*,*
you,名詞,一般,*,*,*,*,*
ready,名詞,一般,*,*,*,*,*
?,名詞,サ変接続,*,*,*,*,*
声,名詞,一般,*,*,*,*,声,コエ,コエ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
枯れる,動詞,自立,*,*,一段,基本形,枯れる,カレル,カレル
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ
　,記号,空白,*,*,*,*,　,　,　
ボク,名詞,代名詞,一般,*,*,*,ボク,ボク,ボク
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
歌う,動詞,自立,*,*,五段・ワ行促音便,基本形,歌う,ウタウ,ウタウ
ロックンロール,名詞,一般,*,*,*,*,ロックンロール,ロックンロール,ロックンロール
もしも,副詞,助詞類接続,*,*,*,*,もしも,モシモ,モシモ
君,名詞,代名詞,一般,*,*,*,君,キミ,キミ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
出,動詞,自立,*,*,一段,連用形,出る,デ,デ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
行っ,動詞,非自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
　,記号,空白,*,*,*,*,　,　,　
もう,副詞,一般,*,*,*,*,もう,モウ,モー
戻ら,動詞,自立,*,*,五段・ラ行,未然形,戻る,モドラ,モドラ
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
たら,助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ
僕,名詞,代名詞,一般,*,*,*,僕,ボク,ボク
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
いったい,副詞,一般,*,*,*,*,いったい,イッタイ,イッタイ
　,記号,空白,*,*,*,*,　,　,　
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
だろ,助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
たぶん,副詞,一般,*,*,*,*,たぶん,タブン,タブン
気,名詞,一般,*,*,*,*,気,キ,キ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
変,名詞,形容動詞語幹,*,*,*,*,変,ヘン,ヘン
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
